Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,1.00,1.01,1.00,1.00,265000,1.00
2013-06-03,1.01,1.01,1.00,1.00,802000,1.00
2013-05-31,1.02,1.03,1.02,1.03,46000,1.03
2013-05-30,1.03,1.03,1.03,1.03,27000,1.03
2013-05-29,1.03,1.03,1.03,1.03,14000,1.03
2013-05-28,1.03,1.03,1.03,1.03,15000,1.03
2013-05-27,1.03,1.03,1.03,1.03,10000,1.03
2013-05-24,1.03,1.03,1.03,1.03,000,1.03
2013-05-23,1.03,1.03,1.03,1.03,10000,1.03
2013-05-22,1.03,1.03,1.03,1.03,83000,1.03
2013-05-21,1.03,1.03,1.03,1.03,20000,1.03
2013-05-20,1.03,1.03,1.03,1.03,31000,1.03
2013-05-17,1.02,1.02,1.02,1.02,000,1.02
2013-05-16,1.03,1.03,1.02,1.02,94000,1.02
2013-05-15,1.03,1.03,1.02,1.02,152000,1.02
2013-05-14,1.03,1.03,1.03,1.03,52000,1.03
2013-05-13,1.03,1.03,1.03,1.03,28000,1.03
2013-05-10,1.03,1.04,1.03,1.03,39000,1.03
2013-05-09,1.03,1.03,1.03,1.03,9000,1.03
2013-05-08,1.03,1.03,1.03,1.03,6000,1.03
2013-05-07,1.03,1.04,1.03,1.03,50000,1.03
2013-05-06,1.03,1.03,1.03,1.03,000,1.03
2013-05-03,1.02,1.03,1.02,1.03,31000,1.03
2013-05-02,1.03,1.03,1.02,1.03,81000,1.03
2013-05-01,1.03,1.03,1.03,1.03,000,1.03
2013-04-30,1.03,1.03,1.03,1.03,6000,1.03
2013-04-29,1.03,1.03,1.03,1.03,22000,1.03
2013-04-26,1.02,1.02,1.02,1.02,000,1.02
2013-04-25,1.02,1.02,1.02,1.02,27000,1.02
2013-04-24,1.03,1.03,1.03,1.03,000,1.03
2013-04-23,1.02,1.03,1.02,1.03,144000,1.03
2013-04-22,1.03,1.03,1.03,1.03,000,1.03
2013-04-19,1.03,1.03,1.03,1.03,152000,1.03
2013-04-18,1.03,1.03,1.03,1.03,15000,1.03
2013-04-17,1.02,1.02,1.02,1.02,000,1.02
2013-04-16,1.02,1.02,1.02,1.02,000,1.02
2013-04-15,1.03,1.03,1.02,1.02,21000,1.02
2013-04-12,1.03,1.03,1.03,1.03,000,1.03
