Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,5.10,5.10,5.05,5.05,3800,5.05
2013-05-16,5.13,5.13,5.13,5.13,2000,5.13
2013-05-10,5.04,5.04,5.04,5.04,200,5.04
2013-05-09,5.19,5.20,5.19,5.20,3200,5.20
2013-05-07,5.08,5.11,5.08,5.11,400,5.11
2013-05-03,5.09,5.09,5.09,5.09,500,5.09
2013-04-25,5.01,5.02,5.01,5.02,2500,5.02
2013-04-12,5.00,5.00,5.00,5.00,1300,5.00
2013-04-11,5.01,5.01,5.01,5.01,700,5.01
2013-04-10,4.94,4.94,4.94,4.94,700,4.94
2013-04-09,4.90,4.90,4.90,4.90,1000,4.90
2013-04-08,4.90,4.90,4.90,4.90,2000,4.90
2013-04-05,5.02,5.02,4.98,4.98,1200,4.98
2013-04-03,5.11,5.11,5.11,5.11,900,5.11
2013-04-01,5.20,5.20,5.20,5.20,2000,5.20
2013-03-28,5.20,5.20,5.20,5.20,2000,5.20
2013-03-27,5.21,5.21,5.21,5.21,3500,5.21
2013-03-25,5.15,5.15,5.15,5.15,3500,5.15
2013-03-22,5.07,5.07,5.07,5.07,1000,5.07
2013-03-15,5.21,5.21,5.21,5.21,100,5.21
2013-03-06,5.48,5.48,5.48,5.48,000,5.48
2013-02-27,5.41,5.41,5.41,5.41,1900,5.41
2013-02-25,5.46,5.46,5.46,5.46,000,5.46
2013-02-21,5.40,5.40,5.40,5.40,1500,5.40
2013-02-18,5.37,5.37,5.37,5.37,000,5.37
2013-02-05,5.20,5.20,5.20,5.20,3800,5.20
2013-02-04,5.20,5.20,5.20,5.20,5000,5.20
2013-02-01,5.24,5.24,5.24,5.24,400,5.24
2013-01-31,5.24,5.24,5.24,5.24,500,5.24
2013-01-29,5.15,5.15,5.15,5.15,1700,5.15
2013-01-28,5.21,5.21,5.12,5.12,10700,5.12
2013-01-25,5.20,5.20,5.19,5.19,7200,5.19
2013-01-24,5.38,5.38,5.38,5.38,15000,5.38
2013-01-23,5.38,5.38,5.38,5.38,1900,5.38
2013-01-22,5.39,5.39,5.39,5.39,15000,5.39
2013-01-21,5.40,5.40,5.40,5.40,3800,5.40
2013-01-18,5.44,5.44,5.44,5.44,400,5.44
2013-01-16,5.41,5.41,5.41,5.41,800,5.41
2013-01-11,5.47,5.47,5.46,5.46,1600,5.46
2013-01-08,5.40,5.40,5.40,5.40,200,5.40
2013-01-07,5.48,5.48,5.48,5.48,1000,5.48
2013-01-02,5.51,5.51,5.51,5.51,800,5.51
2012-12-18,5.43,5.43,5.43,5.43,500,5.43
2012-12-13,5.42,5.42,5.42,5.42,1400,5.42
2012-12-10,5.30,5.30,5.30,5.30,600,5.30
2012-12-07,5.25,5.25,5.25,5.25,1000,5.25
2012-11-29,5.20,5.20,5.20,5.20,5000,5.20
2012-11-26,5.06,5.06,5.06,5.06,000,5.06
2012-11-22,5.08,5.08,5.03,5.03,30000,5.03
2012-11-08,5.00,5.00,5.00,5.00,200,5.00
2012-11-02,5.02,5.02,5.02,5.02,200,5.02
2012-10-25,4.95,4.95,4.95,4.95,700,4.95
2012-10-08,5.15,5.15,5.10,5.10,21800,5.10
2012-10-05,5.16,5.16,5.14,5.15,53300,5.15
2012-10-02,5.18,5.18,5.18,5.18,1000,5.18
2012-10-01,5.16,5.16,5.16,5.16,15000,5.16
2012-09-24,5.13,5.13,5.13,5.13,2000,5.13
2012-09-19,5.19,5.19,5.19,5.19,300,5.19
2012-08-30,4.84,4.84,4.84,4.84,200,4.84
2012-08-14,5.06,5.06,5.06,5.06,1300,5.06
2012-08-10,5.05,5.06,5.05,5.06,1200,5.06
2012-08-08,4.98,4.98,4.98,4.98,2700,4.98
2012-07-31,4.90,4.91,4.90,4.91,45000,4.91
2012-07-26,4.50,4.50,4.50,4.50,900,4.50
2012-07-25,4.53,4.53,4.53,4.53,1300,4.53
2012-07-24,4.54,4.54,4.54,4.54,3000,4.54
2012-07-18,4.57,4.61,4.56,4.61,11500,4.61
2012-07-10,4.72,4.72,4.72,4.72,000,4.72
2012-07-03,4.75,4.75,4.75,4.75,200,4.75
2012-06-25,4.58,4.58,4.58,4.58,1000,4.58
2012-06-18,4.84,4.84,4.84,4.84,400,4.84
2012-06-15,4.69,4.69,4.69,4.69,1000,4.69
2012-06-11,4.72,4.72,4.72,4.72,100,4.72
2012-06-08,4.70,4.70,4.70,4.70,700,4.70
2012-06-07,4.62,4.62,4.62,4.62,100,4.62
2012-05-31,4.59,4.59,4.59,4.59,1200,4.59
2012-05-29,4.57,4.64,4.57,4.64,7900,4.64
2012-05-28,4.58,4.58,4.58,4.58,8000,4.58
2012-05-25,4.50,4.50,4.50,4.50,000,4.50
2012-05-24,4.49,4.49,4.49,4.49,200,4.49
2012-05-21,4.66,4.66,4.50,4.50,13500,4.50
2012-05-17,4.63,4.63,4.63,4.63,1800,4.63
2012-05-16,4.80,4.80,4.61,4.63,29700,4.63
2012-05-14,4.88,4.88,4.88,4.88,2500,4.88
2012-05-11,4.91,4.91,4.91,4.91,6200,4.91
2012-05-02,5.22,5.22,5.22,5.22,1000,5.22
2012-04-30,5.19,5.19,5.19,5.19,2500,5.19
2012-04-26,5.12,5.12,5.12,5.12,1400,5.12
2012-04-24,5.05,5.05,5.02,5.02,2000,5.02
2012-04-23,5.04,5.05,5.01,5.05,19500,5.05
2012-04-18,5.19,5.19,5.19,5.19,7500,5.19
2012-04-13,5.24,5.24,5.24,5.24,3900,5.24
2012-04-12,5.13,5.14,5.13,5.13,26200,5.13
2012-04-11,5.15,5.15,5.09,5.09,42500,5.09
2012-04-03,5.32,5.37,5.32,5.37,63000,5.37
2012-03-30,5.20,5.20,5.20,5.20,000,5.20
2012-03-28,5.25,5.25,5.25,5.25,1000,5.25
2012-03-27,5.28,5.28,5.28,5.28,12500,5.28
2012-03-26,5.21,5.21,5.14,5.14,1200,5.14
2012-03-21,5.34,5.37,5.34,5.37,4400,5.37
2012-03-19,5.28,5.30,5.28,5.30,1400,5.30
2012-03-15,5.24,5.24,5.24,5.24,4400,5.24
2012-03-13,5.24,5.24,5.24,5.24,300,5.24
2012-03-09,5.23,5.23,5.23,5.23,100,5.23
2012-03-07,5.11,5.11,5.11,5.11,1000,5.11
2012-03-02,5.26,5.27,5.26,5.27,2800,5.27
2012-03-01,5.25,5.25,5.22,5.22,50600,5.22
2012-02-29,5.21,5.26,5.21,5.24,2100,5.24
2012-02-27,5.09,5.09,5.06,5.06,31000,5.06
