Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.18,0.18,0.18,0.18,329000,0.18
2013-06-03,0.19,0.19,0.17,0.18,711000,0.18
2013-05-31,0.19,0.19,0.19,0.19,20000,0.19
2013-05-30,0.19,0.19,0.19,0.19,000,0.19
2013-05-29,0.19,0.19,0.19,0.19,96000,0.19
2013-05-28,0.19,0.19,0.19,0.19,60000,0.19
2013-05-27,0.19,0.19,0.19,0.19,000,0.19
2013-05-24,0.19,0.19,0.19,0.19,000,0.19
2013-05-23,0.19,0.19,0.19,0.19,000,0.19
2013-05-22,0.18,0.19,0.18,0.19,325000,0.19
2013-05-21,0.18,0.18,0.18,0.18,32000,0.18
2013-05-20,0.19,0.19,0.19,0.19,2000,0.19
2013-05-17,0.18,0.18,0.18,0.18,50000,0.18
2013-05-16,0.19,0.19,0.19,0.19,61000,0.19
2013-05-15,0.19,0.19,0.19,0.19,75000,0.19
2013-05-14,0.18,0.18,0.18,0.18,000,0.18
2013-05-13,0.18,0.18,0.18,0.18,200000,0.18
2013-05-10,0.18,0.18,0.18,0.18,58000,0.18
2013-05-09,0.18,0.18,0.18,0.18,000,0.18
2013-05-08,0.18,0.18,0.18,0.18,100000,0.18
2013-05-07,0.18,0.18,0.18,0.18,530000,0.18
2013-05-06,0.19,0.19,0.18,0.18,157000,0.18
2013-05-03,0.18,0.18,0.18,0.18,000,0.18
2013-05-02,0.18,0.18,0.18,0.18,45000,0.18
2013-05-01,0.18,0.18,0.18,0.18,000,0.18
2013-04-30,0.18,0.18,0.18,0.18,293000,0.18
2013-04-29,0.18,0.18,0.18,0.18,000,0.18
2013-04-26,0.19,0.19,0.18,0.18,81000,0.18
2013-04-25,0.19,0.19,0.19,0.19,55000,0.19
2013-04-24,0.18,0.18,0.18,0.18,000,0.18
2013-04-23,0.18,0.18,0.18,0.18,000,0.18
2013-04-22,0.18,0.18,0.18,0.18,000,0.18
2013-04-19,0.18,0.18,0.18,0.18,000,0.18
2013-04-18,0.18,0.18,0.18,0.18,100000,0.18
2013-04-17,0.18,0.18,0.18,0.18,250000,0.18
2013-04-16,0.19,0.19,0.19,0.19,75000,0.19
2013-04-15,0.18,0.18,0.18,0.18,40000,0.18
2013-04-12,0.19,0.19,0.19,0.19,117000,0.19
2013-04-11,0.19,0.19,0.19,0.19,000,0.19
2013-04-10,0.18,0.19,0.18,0.19,122000,0.19
2013-04-09,0.18,0.18,0.18,0.18,4000,0.18
2013-04-08,0.18,0.18,0.18,0.18,10000,0.18
2013-04-05,0.19,0.19,0.19,0.19,31000,0.19
2013-04-04,0.19,0.19,0.19,0.19,000,0.19
2013-04-03,0.19,0.19,0.19,0.19,95000,0.19
2013-04-02,0.19,0.19,0.19,0.19,70000,0.19
2013-04-01,0.19,0.19,0.19,0.19,47000,0.19
2013-03-29,0.19,0.19,0.19,0.19,000,0.19
2013-03-28,0.19,0.19,0.19,0.19,107000,0.19
2013-03-27,0.19,0.19,0.19,0.19,34000,0.19
2013-03-26,0.20,0.20,0.20,0.20,000,0.20
2013-03-25,0.20,0.20,0.20,0.20,000,0.20
2013-03-22,0.19,0.20,0.19,0.20,65000,0.20
2013-03-21,0.19,0.19,0.19,0.19,000,0.19
2013-03-20,0.19,0.19,0.19,0.19,000,0.19
2013-03-19,0.19,0.19,0.19,0.19,200000,0.19
2013-03-18,0.18,0.20,0.18,0.20,20000,0.20
2013-03-15,0.19,0.19,0.19,0.19,88000,0.19
2013-03-14,0.20,0.20,0.19,0.19,42000,0.19
2013-03-13,0.18,0.18,0.18,0.18,000,0.18
2013-03-12,0.18,0.18,0.18,0.18,55000,0.18
2013-03-11,0.18,0.18,0.18,0.18,20000,0.18
2013-03-08,0.19,0.19,0.19,0.19,2000,0.19
2013-03-07,0.19,0.19,0.19,0.19,361000,0.19
2013-03-06,0.19,0.19,0.19,0.19,000,0.19
2013-03-05,0.18,0.19,0.18,0.19,1150000,0.19
2013-03-04,0.19,0.19,0.18,0.18,189000,0.18
2013-03-01,0.19,0.19,0.19,0.19,110000,0.19
2013-02-28,0.20,0.21,0.20,0.20,249000,0.20
2013-02-27,0.21,0.21,0.20,0.20,43000,0.20
2013-02-26,0.20,0.20,0.20,0.20,30000,0.20
2013-02-25,0.20,0.20,0.20,0.20,150000,0.20
2013-02-22,0.20,0.20,0.20,0.20,25000,0.20
2013-02-21,0.21,0.21,0.20,0.20,285000,0.20
2013-02-20,0.20,0.25,0.20,0.22,1539000,0.22
2013-02-19,0.20,0.20,0.20,0.20,100000,0.20
2013-02-18,0.20,0.20,0.20,0.20,31000,0.20
2013-02-15,0.21,0.21,0.21,0.21,100000,0.21
2013-02-14,0.20,0.20,0.20,0.20,170000,0.20
2013-02-13,0.20,0.20,0.20,0.20,20000,0.20
2013-02-12,0.20,0.20,0.20,0.20,000,0.20
2013-02-11,0.20,0.20,0.20,0.20,000,0.20
2013-02-08,0.20,0.20,0.20,0.20,107000,0.20
2013-02-07,0.20,0.20,0.20,0.20,364000,0.20
2013-02-06,0.20,0.20,0.20,0.20,21000,0.20
2013-02-05,0.20,0.20,0.20,0.20,1072000,0.20
2013-02-04,0.20,0.20,0.20,0.20,45000,0.20
2013-02-01,0.21,0.22,0.20,0.20,659000,0.20
2013-01-31,0.22,0.22,0.20,0.21,281000,0.21
2013-01-30,0.22,0.22,0.22,0.22,1230000,0.22
2013-01-29,0.20,0.22,0.20,0.22,1332000,0.22
2013-01-28,0.19,0.20,0.19,0.20,513000,0.20
2013-01-25,0.18,0.19,0.18,0.19,426000,0.19
2013-01-24,0.18,0.18,0.18,0.18,767000,0.18
2013-01-23,0.18,0.18,0.18,0.18,1127000,0.18
2013-01-22,0.18,0.18,0.18,0.18,596000,0.18
2013-01-21,0.18,0.18,0.18,0.18,270000,0.18
2013-01-18,0.17,0.17,0.17,0.17,727000,0.17
2013-01-17,0.17,0.17,0.17,0.17,505000,0.17
2013-01-16,0.17,0.18,0.17,0.17,1035000,0.17
2013-01-15,0.17,0.17,0.17,0.17,847000,0.17
2013-01-14,0.17,0.17,0.17,0.17,211000,0.17
2013-01-11,0.17,0.17,0.17,0.17,336000,0.17
2013-01-10,0.17,0.17,0.16,0.17,177000,0.17
2013-01-09,0.16,0.16,0.16,0.16,30000,0.16
2013-01-08,0.16,0.17,0.16,0.16,318000,0.16
2013-01-07,0.17,0.17,0.16,0.17,403000,0.17
2013-01-04,0.16,0.16,0.16,0.16,456000,0.16
2013-01-03,0.16,0.16,0.16,0.16,123000,0.16
2013-01-02,0.16,0.16,0.16,0.16,295000,0.16
2013-01-01,0.16,0.16,0.16,0.16,000,0.16
2012-12-31,0.16,0.16,0.16,0.16,000,0.16
2012-12-28,0.16,0.16,0.16,0.16,1781000,0.16
2012-12-27,0.16,0.16,0.16,0.16,1107000,0.16
2012-12-26,0.16,0.16,0.16,0.16,1000000,0.16
2012-12-25,0.16,0.16,0.16,0.16,000,0.16
2012-12-24,0.16,0.16,0.16,0.16,000,0.16
2012-12-21,0.16,0.16,0.16,0.16,000,0.16
2012-12-20,0.16,0.16,0.16,0.16,88000,0.16
2012-12-19,0.16,0.16,0.16,0.16,1080000,0.16
2012-12-18,0.16,0.16,0.16,0.16,909000,0.16
2012-12-17,0.16,0.16,0.16,0.16,44000,0.16
2012-12-14,0.16,0.16,0.16,0.16,149000,0.16
2012-12-13,0.16,0.16,0.16,0.16,1000,0.16
2012-12-12,0.16,0.16,0.16,0.16,535000,0.16
2012-12-11,0.16,0.16,0.16,0.16,137000,0.16
2012-12-10,0.16,0.16,0.16,0.16,100000,0.16
2012-12-07,0.15,0.16,0.15,0.16,1300000,0.16
2012-12-06,0.16,0.16,0.15,0.15,461000,0.15
2012-12-05,0.16,0.16,0.16,0.16,167000,0.16
2012-12-04,0.16,0.16,0.16,0.16,265000,0.16
2012-12-03,0.16,0.16,0.16,0.16,40000,0.16
2012-11-30,0.16,0.16,0.16,0.16,662000,0.16
2012-11-29,0.16,0.16,0.16,0.16,371000,0.16
2012-11-28,0.17,0.17,0.17,0.17,108000,0.17
2012-11-27,0.17,0.17,0.17,0.17,20000,0.17
2012-11-26,0.17,0.17,0.17,0.17,232000,0.17
2012-11-23,0.16,0.17,0.16,0.16,274000,0.16
2012-11-22,0.17,0.17,0.17,0.17,50000,0.17
2012-11-21,0.17,0.17,0.17,0.17,307000,0.17
2012-11-20,0.17,0.17,0.17,0.17,140000,0.17
2012-11-19,0.16,0.17,0.16,0.17,138000,0.17
2012-11-16,0.17,0.17,0.17,0.17,124000,0.17
2012-11-15,0.17,0.18,0.17,0.18,110000,0.18
2012-11-14,0.17,0.17,0.17,0.17,924000,0.17
2012-11-13,0.17,0.17,0.17,0.17,000,0.17
2012-11-12,0.17,0.17,0.17,0.17,55000,0.17
2012-11-09,0.17,0.17,0.17,0.17,40000,0.17
2012-11-08,0.17,0.18,0.17,0.18,44000,0.18
2012-11-07,0.18,0.18,0.17,0.17,203000,0.17
2012-11-06,0.18,0.18,0.18,0.18,10000,0.18
2012-11-05,0.18,0.18,0.18,0.18,000,0.18
2012-11-02,0.18,0.18,0.18,0.18,18000,0.18
2012-11-01,0.18,0.18,0.18,0.18,20000,0.18
2012-10-31,0.18,0.18,0.17,0.18,78000,0.18
2012-10-30,0.18,0.18,0.18,0.18,40000,0.18
2012-10-29,0.18,0.18,0.18,0.18,120000,0.18
2012-10-26,0.18,0.18,0.18,0.18,000,0.18
2012-10-25,0.18,0.18,0.18,0.18,000,0.18
2012-10-24,0.18,0.18,0.18,0.18,25000,0.18
2012-10-23,0.18,0.18,0.18,0.18,10000,0.18
2012-10-22,0.18,0.18,0.18,0.18,000,0.18
2012-10-19,0.18,0.18,0.18,0.18,185000,0.18
2012-10-18,0.18,0.18,0.18,0.18,283000,0.18
2012-10-17,0.18,0.18,0.18,0.18,170000,0.18
2012-10-16,0.18,0.18,0.18,0.18,129000,0.18
2012-10-15,0.18,0.18,0.18,0.18,10000,0.18
2012-10-12,0.19,0.19,0.19,0.19,000,0.19
2012-10-11,0.18,0.19,0.18,0.19,148000,0.19
2012-10-10,0.18,0.18,0.18,0.18,31000,0.18
2012-10-09,0.17,0.18,0.17,0.18,236000,0.18
2012-10-08,0.18,0.18,0.18,0.18,50000,0.18
2012-10-05,0.19,0.19,0.18,0.18,398000,0.18
2012-10-04,0.19,0.19,0.19,0.19,000,0.19
2012-10-03,0.19,0.19,0.19,0.19,000,0.19
2012-10-02,0.18,0.19,0.18,0.19,12000,0.19
2012-10-01,0.18,0.18,0.18,0.18,000,0.18
2012-09-28,0.18,0.18,0.18,0.18,60000,0.18
2012-09-27,0.18,0.18,0.18,0.18,166000,0.18
