Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.01,0.02,0.01,0.02,19816000,0.02
2013-06-03,0.01,0.02,0.01,0.01,4291000,0.01
2013-05-31,0.01,0.02,0.01,0.01,20651000,0.01
2013-05-30,0.01,0.02,0.01,0.02,20862000,0.02
2013-05-29,0.01,0.01,0.01,0.01,9050000,0.01
2013-05-28,0.01,0.01,0.01,0.01,25888000,0.01
2013-05-27,0.01,0.02,0.01,0.01,37454000,0.01
2013-05-24,0.01,0.01,0.01,0.01,000,0.01
2013-05-23,0.02,0.02,0.01,0.01,138286000,0.01
2013-05-22,0.01,0.02,0.01,0.02,5950000,0.02
2013-05-21,0.01,0.02,0.01,0.02,8490000,0.02
2013-05-20,0.02,0.02,0.01,0.01,8056000,0.01
2013-05-17,0.02,0.02,0.01,0.02,8123000,0.02
2013-05-16,0.02,0.02,0.01,0.02,19178000,0.02
2013-05-15,0.02,0.02,0.01,0.02,15144000,0.02
2013-05-14,0.02,0.02,0.01,0.02,19100000,0.02
2013-05-13,0.02,0.02,0.01,0.02,26199000,0.02
2013-05-10,0.02,0.02,0.02,0.02,21586000,0.02
2013-05-09,0.02,0.02,0.02,0.02,8632000,0.02
2013-05-08,0.02,0.02,0.02,0.02,19719000,0.02
2013-05-07,0.02,0.02,0.01,0.02,6496000,0.02
2013-05-06,0.02,0.02,0.02,0.02,5469000,0.02
2013-05-03,0.02,0.02,0.01,0.02,25389000,0.02
2013-05-02,0.02,0.02,0.02,0.02,47054000,0.02
2013-05-01,0.02,0.02,0.02,0.02,000,0.02
2013-04-30,0.02,0.02,0.02,0.02,12500000,0.02
2013-04-29,0.02,0.02,0.02,0.02,24177000,0.02
2013-04-26,0.02,0.02,0.02,0.02,27462000,0.02
2013-04-25,0.02,0.02,0.02,0.02,17453000,0.02
2013-04-24,0.02,0.02,0.02,0.02,196201000,0.02
2013-04-23,0.02,0.02,0.02,0.02,10748000,0.02
2013-04-22,0.02,0.02,0.02,0.02,12109000,0.02
2013-04-19,0.02,0.02,0.02,0.02,29375000,0.02
2013-04-18,0.02,0.02,0.02,0.02,143623000,0.02
2013-04-17,0.02,0.02,0.02,0.02,7908000,0.02
2013-04-16,0.02,0.02,0.02,0.02,10231000,0.02
2013-04-15,0.02,0.02,0.02,0.02,11730000,0.02
2013-04-12,0.02,0.02,0.02,0.02,20027000,0.02
