Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.08,0.08,0.08,0.08,797000,0.08
2013-06-03,0.08,0.08,0.08,0.08,1020000,0.08
2013-05-31,0.08,0.08,0.08,0.08,1200000,0.08
2013-05-30,0.08,0.08,0.08,0.08,730000,0.08
2013-05-29,0.09,0.09,0.08,0.09,1726000,0.09
2013-05-28,0.08,0.09,0.08,0.09,9912000,0.09
2013-05-27,0.08,0.08,0.08,0.08,1362000,0.08
2013-05-24,0.08,0.08,0.08,0.08,000,0.08
2013-05-23,0.08,0.08,0.08,0.08,1448000,0.08
2013-05-22,0.08,0.08,0.08,0.08,915000,0.08
2013-05-21,0.08,0.08,0.08,0.08,2680000,0.08
2013-05-20,0.08,0.08,0.08,0.08,1946000,0.08
2013-05-17,0.08,0.08,0.08,0.08,205000,0.08
2013-05-16,0.08,0.08,0.08,0.08,332000,0.08
2013-05-15,0.08,0.09,0.08,0.08,1018000,0.08
2013-05-14,0.08,0.08,0.08,0.08,220000,0.08
2013-05-13,0.09,0.09,0.08,0.09,4315000,0.09
2013-05-10,0.08,0.08,0.08,0.08,483000,0.08
2013-05-09,0.08,0.08,0.08,0.08,1081000,0.08
2013-05-08,0.08,0.08,0.08,0.08,702000,0.08
2013-05-07,0.08,0.08,0.08,0.08,498000,0.08
2013-05-06,0.08,0.08,0.08,0.08,915000,0.08
2013-05-03,0.08,0.08,0.08,0.08,940000,0.08
2013-05-02,0.08,0.08,0.08,0.08,3680000,0.08
2013-05-01,0.08,0.08,0.08,0.08,000,0.08
2013-04-30,0.08,0.08,0.08,0.08,2383000,0.08
2013-04-29,0.09,0.09,0.08,0.08,887000,0.08
2013-04-26,0.09,0.09,0.08,0.09,2260000,0.09
2013-04-25,0.08,0.09,0.08,0.09,286000,0.09
2013-04-24,0.08,0.08,0.08,0.08,856000,0.08
2013-04-23,0.08,0.08,0.08,0.08,1040000,0.08
2013-04-22,0.08,0.08,0.08,0.08,460000,0.08
2013-04-19,0.08,0.08,0.08,0.08,1627000,0.08
2013-04-18,0.08,0.08,0.08,0.08,1154000,0.08
2013-04-17,0.08,0.08,0.08,0.08,1002000,0.08
2013-04-16,0.08,0.09,0.08,0.08,1356000,0.08
2013-04-15,0.09,0.09,0.08,0.09,530000,0.09
2013-04-12,0.09,0.09,0.09,0.09,720000,0.09
2013-04-11,0.09,0.09,0.09,0.09,1421000,0.09
2013-04-10,0.09,0.09,0.09,0.09,786000,0.09
2013-04-09,0.09,0.09,0.08,0.09,540000,0.09
2013-04-08,0.09,0.09,0.08,0.09,925000,0.09
2013-04-05,0.09,0.09,0.09,0.09,945000,0.09
2013-04-04,0.09,0.09,0.09,0.09,1717000,0.09
2013-04-03,0.09,0.09,0.09,0.09,3341000,0.09
2013-04-02,0.09,0.09,0.09,0.09,2102000,0.09
2013-04-01,0.09,0.09,0.09,0.09,404000,0.09
2013-03-29,0.09,0.09,0.09,0.09,000,0.09
2013-03-28,0.09,0.09,0.09,0.09,805000,0.09
2013-03-27,0.09,0.09,0.09,0.09,782000,0.09
2013-03-26,0.09,0.09,0.09,0.09,5212000,0.09
2013-03-25,0.09,0.09,0.09,0.09,3559000,0.09
2013-03-22,0.09,0.09,0.09,0.09,5063000,0.09
2013-03-21,0.08,0.08,0.08,0.08,1332000,0.08
2013-03-20,0.08,0.08,0.08,0.08,915000,0.08
2013-03-19,0.08,0.08,0.08,0.08,1370000,0.08
2013-03-18,0.08,0.08,0.08,0.08,2551000,0.08
2013-03-15,0.08,0.09,0.08,0.08,3238000,0.08
2013-03-14,0.08,0.09,0.08,0.08,2483000,0.08
2013-03-13,0.09,0.09,0.08,0.08,1687000,0.08
2013-03-12,0.09,0.09,0.08,0.08,4824000,0.08
2013-03-11,0.09,0.09,0.08,0.08,5230000,0.08
2013-03-08,0.09,0.09,0.08,0.08,2087000,0.08
2013-03-07,0.09,0.09,0.09,0.09,1700000,0.09
2013-03-06,0.09,0.09,0.09,0.09,4787000,0.09
2013-03-05,0.09,0.09,0.08,0.09,5709000,0.09
2013-03-04,0.09,0.09,0.09,0.09,6205000,0.09
2013-03-01,0.09,0.09,0.09,0.09,7690000,0.09
2013-02-28,0.09,0.09,0.09,0.09,3921000,0.09
2013-02-27,0.09,0.09,0.09,0.09,4525000,0.09
2013-02-26,0.09,0.10,0.09,0.09,81970000,0.09
2013-02-25,0.09,0.09,0.09,0.09,37953000,0.09
2013-02-22,0.09,0.09,0.09,0.09,5489000,0.09
2013-02-21,0.09,0.09,0.09,0.09,2456000,0.09
2013-02-20,0.09,0.09,0.09,0.09,8480000,0.09
2013-02-19,0.09,0.09,0.09,0.09,3297000,0.09
2013-02-18,0.09,0.09,0.09,0.09,6894000,0.09
2013-02-15,0.09,0.09,0.09,0.09,2973000,0.09
