Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.86,0.87,0.86,0.87,7115000,0.87
2013-06-03,0.87,0.87,0.86,0.86,9722000,0.86
2013-05-31,0.87,0.88,0.86,0.88,18065000,0.88
2013-05-30,0.88,0.88,0.87,0.88,9545000,0.88
2013-05-29,0.90,0.90,0.88,0.88,3919000,0.88
2013-05-28,0.88,0.89,0.88,0.89,3810000,0.89
2013-05-27,0.88,0.88,0.88,0.88,5891000,0.88
2013-05-24,0.89,0.89,0.89,0.89,000,0.89
2013-05-23,0.90,0.90,0.88,0.89,7017000,0.89
2013-05-22,0.89,0.90,0.89,0.89,8445000,0.89
2013-05-21,0.89,0.90,0.89,0.89,8522000,0.89
2013-05-20,0.89,0.90,0.89,0.89,5884000,0.89
2013-05-17,0.89,0.90,0.88,0.89,11063000,0.89
2013-05-16,0.87,0.89,0.87,0.88,14303000,0.88
2013-05-15,0.88,0.88,0.86,0.87,14453000,0.87
2013-05-14,0.88,0.89,0.88,0.88,14514000,0.88
2013-05-13,0.90,0.90,0.89,0.89,5977000,0.89
2013-05-10,0.90,0.91,0.89,0.90,6189000,0.90
2013-05-09,0.90,0.91,0.90,0.90,7240000,0.90
2013-05-08,0.90,0.92,0.89,0.90,13545000,0.90
2013-05-07,0.94,0.94,0.94,0.94,9302000,0.89
2013-05-06,0.94,0.95,0.94,0.94,7998000,0.89
2013-05-03,0.95,0.95,0.94,0.95,3002000,0.90
2013-05-02,0.95,0.95,0.94,0.95,8806000,0.90
2013-05-01,0.95,0.95,0.95,0.95,000,0.90
2013-04-30,0.96,0.96,0.95,0.95,7547000,0.90
2013-04-29,0.96,0.96,0.95,0.95,5389000,0.90
2013-04-26,0.95,0.96,0.95,0.96,5763000,0.91
2013-04-25,0.94,0.95,0.94,0.95,6450000,0.90
2013-04-24,0.93,0.94,0.92,0.94,6673000,0.89
2013-04-23,0.93,0.94,0.92,0.92,7427000,0.87
2013-04-22,0.93,0.94,0.93,0.93,5468000,0.88
2013-04-19,0.93,0.93,0.92,0.93,5498000,0.88
2013-04-18,0.93,0.93,0.92,0.93,3859000,0.88
