Date,Open,High,Low,Close,Volume,Adj Close
2013-05-09,10.75,10.78,10.72,10.72,5700,10.72
2013-05-08,10.51,10.51,10.51,10.51,3900,10.51
2013-05-02,10.35,10.35,10.34,10.23,5000,10.23
2013-04-25,10.23,10.23,10.23,10.23,6000,10.23
2013-04-23,10.25,10.25,10.25,10.25,200,10.25
2013-04-09,10.11,10.11,10.11,10.11,800,10.11
2013-02-04,10.72,10.72,10.72,10.72,200,10.72
2013-01-25,10.70,10.71,10.70,10.71,400,10.71
2013-01-08,10.70,10.70,10.70,10.70,2000,10.70
2013-01-04,10.70,10.70,10.70,10.70,3000,10.70
2013-01-03,10.65,10.65,10.65,10.65,20000,10.65
2012-12-26,10.52,10.52,10.52,10.52,5000,10.52
2012-11-28,9.95,9.95,9.95,9.95,600,9.95
2012-11-27,9.85,9.85,9.85,9.85,100,9.85
2012-10-10,9.85,9.85,9.85,9.85,3000,9.85
2012-10-08,9.94,9.94,9.91,9.91,13300,9.91
2012-10-03,10.03,10.03,10.03,10.03,2500,10.03
2012-09-14,10.08,10.08,10.08,10.08,2000,10.08
2012-09-12,9.68,9.68,9.68,9.68,100,9.68
2012-09-11,9.67,9.67,9.67,9.67,1500,9.67
2012-09-10,9.65,9.65,9.65,9.65,500,9.65
2012-08-28,9.64,9.64,9.64,9.64,1200,9.64
2012-08-21,9.75,9.76,9.75,9.76,1500,9.76
2012-08-10,9.71,9.71,9.71,9.71,1000,9.71
2012-08-08,9.71,9.71,9.71,9.71,800,9.71
2012-08-03,9.44,9.44,9.44,9.44,900,9.44
2012-07-27,9.18,9.18,9.18,9.18,10000,9.18
2012-07-23,9.23,9.23,9.23,9.23,100,9.23
2012-07-16,9.30,9.30,9.30,9.30,1100,9.30
2012-07-13,9.15,9.15,8.17,8.17,17200,8.17
2012-07-06,9.42,9.42,9.42,9.42,100,9.42
2012-06-18,9.25,9.25,9.25,9.25,900,9.25
2012-06-11,9.13,9.13,9.13,9.13,200,9.13
2012-06-08,9.00,9.00,9.00,9.00,200,9.00
2012-06-04,9.08,9.08,9.08,9.08,100,9.08
2012-05-22,9.08,9.08,9.08,9.08,100,9.08
2012-05-21,9.09,9.09,9.08,9.08,10900,9.08
2012-05-11,9.66,9.66,9.60,9.60,1400,9.60
2012-05-10,9.70,9.71,9.70,9.71,1300,9.71
2012-05-07,9.83,9.83,9.80,9.83,2700,9.83
2012-05-04,10.08,10.08,10.08,10.08,1000,10.08
2012-04-19,10.10,10.10,10.10,10.10,100,10.10
2012-04-13,10.10,10.10,10.10,10.10,1000,10.10
2012-04-11,10.05,10.05,9.93,9.93,2500,9.93
2012-04-05,10.20,10.20,10.20,10.20,000,10.20
2012-03-27,10.40,10.40,10.40,10.40,500,10.40
2012-03-05,10.60,10.60,10.60,10.60,000,10.60
2012-02-29,10.64,10.64,10.64,10.64,200,10.64
2012-02-21,10.61,10.66,10.61,10.66,20000,10.66
2012-02-08,10.41,10.41,10.41,10.41,700,10.41
2012-01-31,10.00,10.00,10.00,10.00,1000,10.00
2012-01-30,10.01,10.01,10.01,10.01,1300,10.01
