Date,Open,High,Low,Close,Volume,Adj Close
2013-05-21,283.55,283.55,283.55,283.55,000,283.55
2013-05-20,286.15,286.15,286.15,286.15,000,286.15
2013-04-05,287.62,287.62,287.62,287.62,000,287.62
2013-01-08,286.53,286.53,286.53,286.53,300,286.53
2013-01-07,287.98,288.00,287.98,288.00,300,288.00
2012-10-12,288.30,288.50,288.30,288.50,600,288.50
2012-10-08,289.09,289.09,289.09,289.09,300,289.09
2012-10-03,290.00,290.00,290.00,290.00,100,290.00
2012-09-12,285.34,285.34,285.34,285.34,300,285.34
2012-09-07,285.92,285.92,285.92,285.92,000,285.92
2012-08-28,284.40,284.40,284.00,284.00,600,284.00
2012-08-16,281.20,281.80,281.20,281.80,900,281.80
2012-08-10,288.70,288.70,288.70,288.70,000,288.70
2012-07-30,285.40,285.70,285.40,285.70,900,285.70
2012-06-18,283.48,283.48,283.48,283.48,300,283.48
2012-06-11,282.50,282.91,282.40,282.40,600,282.40
2012-06-01,282.55,282.55,282.55,282.55,300,282.55
2012-05-17,279.68,279.68,279.68,279.68,300,279.68
2012-05-10,278.90,278.90,278.90,278.90,000,278.90
2012-04-27,278.42,278.62,278.42,278.62,600,278.62
2012-04-10,273.60,273.60,273.60,273.60,300,273.60
2012-03-21,273.04,273.04,273.04,273.04,000,273.04
2012-03-16,272.65,272.65,272.65,272.65,000,272.65
2012-02-02,276.25,276.25,276.25,276.25,300,276.25
2012-01-26,271.75,272.25,271.75,272.25,600,272.25
