Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,0.28,0.28,0.28,0.28,1968000,0.28
2013-05-31,0.28,0.28,0.28,0.28,845000,0.28
2013-05-30,0.28,0.28,0.28,0.28,2397000,0.28
2013-05-29,0.28,0.28,0.28,0.28,3218000,0.28
2013-05-28,0.27,0.28,0.27,0.28,6409000,0.28
2013-05-27,0.28,0.28,0.28,0.28,1459000,0.28
2013-05-24,0.28,0.28,0.28,0.28,000,0.28
2013-05-23,0.28,0.28,0.28,0.28,4391000,0.28
2013-05-22,0.28,0.29,0.28,0.29,528000,0.29
2013-05-21,0.29,0.29,0.28,0.29,928000,0.29
2013-05-20,0.29,0.29,0.28,0.29,1112000,0.29
2013-05-17,0.28,0.29,0.28,0.29,565000,0.29
2013-05-16,0.28,0.29,0.28,0.29,2007000,0.29
2013-05-15,0.28,0.28,0.28,0.28,2296000,0.28
2013-05-14,0.28,0.28,0.28,0.28,1174000,0.28
2013-05-13,0.28,0.29,0.28,0.28,1897000,0.28
2013-05-10,0.28,0.29,0.28,0.29,3024000,0.29
2013-05-09,0.29,0.29,0.28,0.28,3614000,0.28
2013-05-08,0.29,0.29,0.28,0.29,2121000,0.29
2013-05-07,0.29,0.29,0.29,0.29,3009000,0.29
2013-05-06,0.28,0.29,0.28,0.29,6420000,0.29
2013-05-03,0.29,0.29,0.28,0.29,2142000,0.28
2013-05-02,0.30,0.30,0.28,0.30,4581000,0.29
2013-05-01,0.30,0.30,0.30,0.30,000,0.29
2013-04-30,0.30,0.30,0.30,0.30,533000,0.29
2013-04-29,0.31,0.31,0.29,0.30,1374000,0.29
2013-04-26,0.31,0.31,0.30,0.31,778000,0.30
2013-04-25,0.31,0.31,0.31,0.31,487000,0.30
2013-04-24,0.30,0.31,0.29,0.30,2253000,0.29
2013-04-23,0.34,0.34,0.34,0.34,4628000,0.33
2013-04-22,0.34,0.34,0.34,0.34,1221000,0.33
2013-04-19,0.34,0.34,0.34,0.34,1758000,0.33
2013-04-18,0.34,0.34,0.34,0.34,163000,0.33
2013-04-17,0.34,0.34,0.34,0.34,1063000,0.33
2013-04-16,0.34,0.34,0.34,0.34,848000,0.33
2013-04-15,0.34,0.34,0.34,0.34,485000,0.33
2013-04-12,0.34,0.34,0.34,0.34,635000,0.33
2013-04-11,0.34,0.34,0.34,0.34,720000,0.33
2013-04-10,0.33,0.35,0.33,0.34,6392000,0.33
2013-04-09,0.34,0.34,0.34,0.34,592000,0.33
2013-04-08,0.34,0.34,0.34,0.34,460000,0.33
2013-04-05,0.35,0.35,0.34,0.34,350000,0.33
2013-04-04,0.35,0.35,0.34,0.35,76000,0.34
2013-04-03,0.35,0.35,0.35,0.35,255000,0.34
2013-04-02,0.34,0.35,0.34,0.35,785000,0.34
2013-04-01,0.35,0.35,0.34,0.35,871000,0.34
2013-03-29,0.34,0.34,0.34,0.34,000,0.34
2013-03-28,0.35,0.35,0.34,0.34,1436000,0.34
2013-03-27,0.34,0.34,0.34,0.34,457000,0.34
2013-03-26,0.34,0.35,0.34,0.34,771000,0.33
2013-03-25,0.34,0.34,0.34,0.34,1219000,0.34
2013-03-22,0.34,0.34,0.34,0.34,1602000,0.34
2013-03-21,0.32,0.34,0.32,0.34,1749000,0.33
2013-03-20,0.34,0.34,0.32,0.33,4479000,0.32
2013-03-19,0.35,0.36,0.34,0.34,2655000,0.34
2013-03-18,0.36,0.37,0.36,0.36,70000,0.35
2013-03-15,0.37,0.37,0.37,0.37,123000,0.36
2013-03-14,0.36,0.37,0.36,0.37,30000,0.36
2013-03-13,0.37,0.37,0.37,0.37,272000,0.36
2013-03-12,0.37,0.37,0.37,0.37,191000,0.36
2013-03-11,0.38,0.38,0.37,0.38,538000,0.36
2013-03-08,0.37,0.38,0.37,0.37,421000,0.36
2013-03-07,0.37,0.37,0.37,0.37,283000,0.36
2013-03-06,0.37,0.37,0.37,0.37,368000,0.36
2013-03-05,0.37,0.37,0.37,0.37,147000,0.35
2013-03-04,0.37,0.37,0.36,0.36,319000,0.35
