Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.86,0.91,0.86,0.90,4120000,0.90
2013-06-03,0.85,0.86,0.85,0.85,429000,0.85
2013-05-31,0.85,0.86,0.83,0.86,1369000,0.86
2013-05-30,0.83,0.85,0.82,0.85,1161000,0.85
2013-05-29,0.85,0.86,0.83,0.83,585000,0.83
2013-05-28,0.85,0.85,0.84,0.85,447000,0.85
2013-05-27,0.82,0.84,0.82,0.83,537000,0.83
2013-05-24,0.82,0.82,0.82,0.82,000,0.82
2013-05-23,0.85,0.85,0.82,0.82,1415000,0.82
2013-05-22,0.84,0.85,0.84,0.85,964000,0.85
2013-05-21,0.85,0.85,0.83,0.83,993000,0.83
2013-05-20,0.83,0.86,0.83,0.85,3303000,0.85
2013-05-17,0.82,0.83,0.82,0.82,153000,0.82
2013-05-16,0.82,0.83,0.82,0.82,152000,0.82
2013-05-15,0.82,0.83,0.82,0.82,90000,0.82
2013-05-14,0.83,0.83,0.82,0.82,432000,0.82
2013-05-13,0.84,0.85,0.82,0.83,920000,0.83
2013-05-10,0.83,0.84,0.83,0.84,595000,0.84
2013-05-09,0.83,0.83,0.82,0.83,1328000,0.83
2013-05-08,0.82,0.82,0.82,0.82,78000,0.82
2013-05-07,0.83,0.83,0.82,0.82,105000,0.82
2013-05-06,0.85,0.85,0.84,0.85,538000,0.82
2013-05-03,0.85,0.85,0.84,0.85,737000,0.82
2013-05-02,0.84,0.85,0.84,0.85,843000,0.82
2013-05-01,0.85,0.85,0.85,0.85,000,0.82
2013-04-30,0.85,0.85,0.84,0.85,285000,0.82
2013-04-29,0.83,0.85,0.83,0.85,172000,0.82
2013-04-26,0.83,0.84,0.83,0.84,430000,0.81
2013-04-25,0.83,0.84,0.83,0.83,316000,0.81
2013-04-24,0.83,0.83,0.83,0.83,479000,0.81
2013-04-23,0.85,0.85,0.83,0.84,153000,0.81
2013-04-22,0.83,0.85,0.83,0.85,448000,0.82
2013-04-19,0.83,0.85,0.83,0.83,277000,0.81
2013-04-18,0.83,0.83,0.83,0.83,547000,0.80
2013-04-17,0.83,0.85,0.83,0.84,462000,0.81
2013-04-16,0.83,0.84,0.83,0.84,395000,0.81
2013-04-15,0.84,0.84,0.83,0.84,319000,0.81
2013-04-12,0.83,0.84,0.83,0.84,1243000,0.81
2013-04-11,0.84,0.85,0.83,0.83,763000,0.81
2013-04-10,0.85,0.85,0.84,0.85,548000,0.82
2013-04-09,0.84,0.85,0.84,0.85,644000,0.82
2013-04-08,0.85,0.85,0.84,0.85,362000,0.82
2013-04-05,0.86,0.86,0.85,0.85,250000,0.82
2013-04-04,0.86,0.86,0.86,0.86,97000,0.83
2013-04-03,0.86,0.87,0.86,0.87,446000,0.84
2013-04-02,0.85,0.87,0.85,0.87,16000,0.84
2013-04-01,0.86,0.87,0.86,0.87,194000,0.84
2013-03-29,0.87,0.87,0.87,0.87,000,0.84
2013-03-28,0.88,0.88,0.87,0.87,1101000,0.84
2013-03-27,0.86,0.87,0.86,0.87,745000,0.84
2013-03-26,0.84,0.86,0.84,0.86,300000,0.83
2013-03-25,0.84,0.85,0.84,0.84,120000,0.81
2013-03-22,0.84,0.85,0.84,0.84,653000,0.81
2013-03-21,0.85,0.85,0.84,0.85,949000,0.82
2013-03-20,0.84,0.85,0.84,0.85,795000,0.82
2013-03-19,0.85,0.85,0.83,0.83,721000,0.80
2013-03-18,0.83,0.83,0.83,0.83,729000,0.81
2013-03-15,0.84,0.85,0.83,0.84,1774000,0.81
2013-03-14,0.85,0.85,0.83,0.83,374000,0.81
2013-03-13,0.83,0.85,0.83,0.84,1509000,0.81
2013-03-12,0.85,0.85,0.84,0.84,372000,0.81
2013-03-11,0.86,0.86,0.84,0.84,306000,0.81
2013-03-08,0.85,0.85,0.84,0.85,526000,0.82
2013-03-07,0.87,0.87,0.85,0.85,591000,0.82
2013-03-06,0.87,0.88,0.85,0.85,992000,0.82
2013-03-05,0.85,0.86,0.83,0.85,424000,0.82
2013-03-04,0.88,0.88,0.85,0.85,794000,0.82
2013-03-01,0.88,0.88,0.87,0.88,1930000,0.85
2013-02-28,0.87,0.88,0.86,0.88,1403000,0.85
2013-02-27,0.87,0.88,0.86,0.87,1760000,0.84
2013-02-26,0.85,0.86,0.85,0.86,679000,0.83
2013-02-25,0.87,0.87,0.86,0.86,1725000,0.83
2013-02-22,0.87,0.87,0.86,0.87,410000,0.84
2013-02-21,0.88,0.88,0.87,0.87,917000,0.84
2013-02-20,0.87,0.88,0.87,0.88,1364000,0.85
2013-02-19,0.86,0.88,0.86,0.87,1130000,0.84
2013-02-18,0.85,0.86,0.85,0.86,301000,0.83
2013-02-15,0.86,0.86,0.85,0.85,436000,0.82
2013-02-14,0.85,0.86,0.84,0.86,719000,0.83
2013-02-13,0.86,0.86,0.83,0.83,517000,0.81
2013-02-12,0.85,0.85,0.85,0.85,000,0.82
2013-02-11,0.85,0.85,0.85,0.85,000,0.82
2013-02-08,0.84,0.85,0.84,0.85,300000,0.82
2013-02-07,0.84,0.84,0.83,0.83,333000,0.80
2013-02-06,0.85,0.86,0.83,0.83,311000,0.81
2013-02-05,0.85,0.86,0.83,0.84,783000,0.81
2013-02-04,0.87,0.87,0.86,0.86,732000,0.83
2013-02-01,0.87,0.87,0.86,0.86,505000,0.83
2013-01-31,0.87,0.87,0.86,0.87,506000,0.84
2013-01-30,0.87,0.87,0.86,0.86,742000,0.83
2013-01-29,0.87,0.88,0.86,0.87,1116000,0.84
2013-01-28,0.88,0.88,0.87,0.87,2573000,0.84
2013-01-25,0.83,0.86,0.83,0.85,2494000,0.82
2013-01-24,0.83,0.84,0.82,0.83,661000,0.80
2013-01-23,0.83,0.84,0.83,0.84,1095000,0.81
2013-01-22,0.83,0.85,0.83,0.83,2269000,0.80
2013-01-21,0.81,0.83,0.80,0.83,2551000,0.80
2013-01-18,0.80,0.81,0.80,0.80,1194000,0.77
2013-01-17,0.80,0.80,0.79,0.80,1159000,0.77
2013-01-16,0.79,0.80,0.78,0.79,570000,0.76
2013-01-15,0.80,0.80,0.77,0.80,867000,0.77
2013-01-14,0.80,0.81,0.80,0.80,1403000,0.77
2013-01-11,0.80,0.81,0.80,0.81,2438000,0.78
2013-01-10,0.80,0.80,0.80,0.80,1180000,0.77
2013-01-09,0.78,0.80,0.78,0.80,1682000,0.77
2013-01-08,0.80,0.81,0.77,0.78,2576000,0.75
2013-01-07,0.81,0.81,0.79,0.79,3155000,0.76
2013-01-04,0.77,0.78,0.77,0.77,1613000,0.75
2013-01-03,0.81,0.81,0.76,0.77,2531000,0.75
2013-01-02,0.79,0.81,0.79,0.80,641000,0.77
2013-01-01,0.78,0.78,0.78,0.78,000,0.75
2012-12-31,0.78,0.78,0.78,0.78,105000,0.75
2012-12-28,0.79,0.79,0.78,0.78,748000,0.75
2012-12-27,0.79,0.79,0.79,0.79,193000,0.76
2012-12-26,0.79,0.79,0.79,0.79,230000,0.76
2012-12-25,0.79,0.79,0.79,0.79,000,0.76
2012-12-24,0.80,0.80,0.79,0.79,140000,0.76
2012-12-21,0.80,0.80,0.79,0.79,312000,0.76
2012-12-20,0.80,0.81,0.80,0.80,123000,0.77
2012-12-19,0.79,0.80,0.79,0.80,603000,0.77
2012-12-18,0.79,0.80,0.76,0.79,1336000,0.76
2012-12-17,0.80,0.80,0.79,0.79,510000,0.76
2012-12-14,0.80,0.80,0.79,0.79,151000,0.76
2012-12-13,0.81,0.81,0.80,0.80,457000,0.77
2012-12-12,0.82,0.82,0.80,0.80,782000,0.77
2012-12-11,0.81,0.81,0.81,0.81,115000,0.79
2012-12-10,0.81,0.81,0.81,0.81,117000,0.78
2012-12-07,0.79,0.81,0.79,0.81,3136000,0.78
2012-12-06,0.78,0.79,0.78,0.79,71000,0.76
2012-12-05,0.80,0.80,0.79,0.79,250000,0.76
2012-12-04,0.80,0.80,0.79,0.79,410000,0.76
2012-12-03,0.80,0.80,0.80,0.80,25000,0.77
2012-11-30,0.79,0.80,0.79,0.79,555000,0.76
2012-11-29,0.80,0.80,0.80,0.80,645000,0.77
2012-11-28,0.80,0.80,0.80,0.80,314000,0.77
2012-11-27,0.80,0.80,0.79,0.80,2209000,0.77
2012-11-26,0.80,0.80,0.80,0.80,663000,0.77
2012-11-23,0.79,0.79,0.79,0.79,420000,0.76
2012-11-22,0.79,0.79,0.79,0.79,374000,0.76
2012-11-21,0.79,0.80,0.79,0.79,677000,0.76
2012-11-20,0.82,0.82,0.79,0.79,295000,0.76
2012-11-19,0.80,0.80,0.79,0.79,119000,0.76
2012-11-16,0.79,0.80,0.79,0.80,81000,0.77
2012-11-15,0.80,0.80,0.79,0.79,415000,0.76
2012-11-14,0.86,0.86,0.80,0.81,670000,0.78
2012-11-13,0.86,0.86,0.86,0.86,000,0.83
2012-11-12,0.86,0.86,0.85,0.86,932000,0.83
2012-11-09,0.84,0.85,0.84,0.85,198000,0.82
2012-11-08,0.85,0.85,0.84,0.85,535000,0.82
2012-11-07,0.86,0.86,0.83,0.85,227000,0.82
2012-11-06,0.87,0.87,0.85,0.85,526000,0.82
2012-11-05,0.88,0.88,0.88,0.88,1000,0.85
2012-11-02,0.88,0.88,0.87,0.88,138000,0.85
2012-11-01,0.87,0.87,0.87,0.87,79000,0.84
2012-10-31,0.87,0.87,0.87,0.87,29000,0.84
2012-10-30,0.88,0.88,0.88,0.88,000,0.86
2012-10-29,0.88,0.88,0.87,0.88,74000,0.86
2012-10-26,0.88,0.88,0.88,0.88,000,0.85
2012-10-25,0.88,0.88,0.88,0.88,54000,0.85
2012-10-24,0.86,0.88,0.86,0.88,71000,0.85
2012-10-23,0.87,0.88,0.87,0.88,84000,0.85
2012-10-22,0.86,0.87,0.86,0.87,36000,0.84
2012-10-19,0.88,0.88,0.86,0.86,234000,0.83
2012-10-18,0.88,0.88,0.87,0.88,94000,0.85
2012-10-17,0.88,0.88,0.88,0.88,133000,0.85
2012-10-16,0.87,0.88,0.87,0.88,14000,0.85
2012-10-15,0.88,0.88,0.87,0.88,119000,0.85
2012-10-12,0.87,0.88,0.87,0.87,653000,0.84
2012-10-11,0.87,0.88,0.87,0.87,192000,0.84
2012-10-10,0.87,0.88,0.87,0.87,177000,0.84
2012-10-09,0.88,0.88,0.87,0.87,55000,0.84
2012-10-08,0.88,0.88,0.88,0.88,385000,0.85
2012-10-05,0.89,0.89,0.88,0.88,78000,0.85
2012-10-04,0.88,0.88,0.87,0.88,246000,0.86
2012-10-03,0.90,0.90,0.87,0.87,738000,0.84
2012-10-02,0.90,0.91,0.89,0.89,1342000,0.87
2012-10-01,0.88,0.89,0.88,0.88,730000,0.86
2012-09-28,0.88,0.88,0.87,0.87,781000,0.84
2012-09-27,0.85,0.87,0.85,0.87,194000,0.84
2012-09-26,0.85,0.86,0.85,0.86,173000,0.83
2012-09-25,0.88,0.88,0.86,0.86,395000,0.83
2012-09-24,0.88,0.88,0.88,0.88,164000,0.85
2012-09-21,0.89,0.89,0.88,0.88,502000,0.85
2012-09-20,0.89,0.89,0.88,0.88,759000,0.85
2012-09-19,0.88,0.90,0.88,0.90,1779000,0.87
2012-09-18,0.89,0.89,0.88,0.88,724000,0.85
2012-09-17,0.90,0.91,0.89,0.89,1670000,0.87
2012-09-14,0.91,0.92,0.89,0.90,1174000,0.87
2012-09-13,0.88,0.94,0.88,0.92,3898000,0.87
2012-09-12,0.87,0.89,0.87,0.89,1970000,0.85
2012-09-11,0.86,0.87,0.86,0.87,70000,0.82
2012-09-10,0.85,0.87,0.85,0.86,1404000,0.82
2012-09-07,0.85,0.85,0.84,0.85,467000,0.80
2012-09-06,0.84,0.85,0.83,0.83,165000,0.79
2012-09-05,0.83,0.85,0.83,0.84,200000,0.80
2012-09-04,0.83,0.85,0.83,0.83,99000,0.79
2012-09-03,0.83,0.84,0.82,0.84,458000,0.80
2012-08-31,0.83,0.83,0.83,0.83,240000,0.79
2012-08-30,0.85,0.85,0.83,0.83,466000,0.79
2012-08-29,0.86,0.86,0.85,0.85,172000,0.81
2012-08-28,0.86,0.87,0.86,0.86,483000,0.82
2012-08-27,0.86,0.88,0.86,0.86,635000,0.82
2012-08-24,0.85,0.85,0.84,0.85,147000,0.81
2012-08-23,0.85,0.86,0.85,0.86,88000,0.81
2012-08-22,0.85,0.86,0.83,0.86,378000,0.81
2012-08-21,0.86,0.86,0.85,0.86,212000,0.82
2012-08-20,0.86,0.86,0.86,0.86,000,0.81
2012-08-17,0.88,0.88,0.85,0.86,668000,0.81
2012-08-16,0.88,0.88,0.88,0.88,663000,0.84
2012-08-15,0.86,0.88,0.86,0.88,1439000,0.83
2012-08-14,0.84,0.86,0.83,0.86,763000,0.81
2012-08-13,0.83,0.83,0.83,0.83,75000,0.79
2012-08-10,0.83,0.83,0.82,0.83,210000,0.79
2012-08-09,0.82,0.82,0.82,0.82,000,0.79
2012-08-08,0.83,0.83,0.82,0.82,102000,0.79
2012-08-07,0.84,0.84,0.83,0.84,314000,0.80
2012-08-06,0.84,0.84,0.84,0.84,91000,0.80
2012-08-03,0.86,0.86,0.83,0.84,104000,0.80
2012-08-02,0.86,0.86,0.86,0.86,1000,0.82
2012-08-01,0.86,0.87,0.86,0.86,562000,0.81
2012-07-31,0.84,0.86,0.84,0.86,171000,0.81
2012-07-30,0.83,0.83,0.83,0.83,73000,0.79
2012-07-27,0.84,0.84,0.78,0.82,163000,0.78
2012-07-26,0.83,0.83,0.83,0.83,106000,0.79
2012-07-25,0.83,0.83,0.83,0.83,130000,0.79
2012-07-24,0.84,0.84,0.83,0.83,133000,0.79
2012-07-23,0.83,0.84,0.83,0.84,62000,0.80
2012-07-20,0.85,0.85,0.85,0.85,152000,0.81
2012-07-19,0.85,0.86,0.85,0.85,60000,0.81
2012-07-18,0.85,0.86,0.85,0.85,632000,0.80
2012-07-17,0.85,0.85,0.85,0.85,309000,0.80
2012-07-16,0.83,0.86,0.83,0.84,140000,0.80
