Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.41,0.41,0.41,0.41,5000,0.41
2013-06-03,0.43,0.43,0.43,0.43,3000,0.43
2013-05-31,0.41,0.41,0.41,0.41,000,0.41
2013-05-30,0.41,0.41,0.41,0.41,000,0.41
2013-05-29,0.41,0.41,0.41,0.41,25000,0.41
2013-05-28,0.41,0.41,0.41,0.41,000,0.41
2013-05-27,0.41,0.41,0.41,0.41,000,0.41
2013-05-24,0.41,0.41,0.41,0.41,000,0.41
2013-05-23,0.41,0.41,0.40,0.41,35000,0.41
2013-05-22,0.41,0.41,0.40,0.41,120000,0.41
2013-05-21,0.41,0.41,0.41,0.41,000,0.41
2013-05-20,0.41,0.41,0.41,0.41,20000,0.41
2013-05-17,0.41,0.41,0.41,0.41,70000,0.41
2013-05-16,0.41,0.41,0.41,0.41,20000,0.41
2013-05-15,0.41,0.41,0.41,0.41,245000,0.41
2013-05-14,0.41,0.41,0.41,0.41,000,0.41
2013-05-13,0.41,0.41,0.41,0.41,000,0.41
2013-05-10,0.41,0.41,0.41,0.41,40000,0.41
2013-05-09,0.42,0.42,0.42,0.42,000,0.42
2013-05-08,0.42,0.42,0.42,0.42,30000,0.42
2013-05-07,0.42,0.43,0.42,0.43,70000,0.42
2013-05-06,0.42,0.42,0.42,0.42,000,0.41
2013-05-03,0.42,0.42,0.42,0.42,15000,0.41
2013-05-02,0.41,0.41,0.41,0.41,10000,0.41
2013-05-01,0.41,0.41,0.41,0.41,000,0.41
2013-04-30,0.43,0.43,0.41,0.41,50000,0.41
2013-04-29,0.43,0.43,0.43,0.43,000,0.42
2013-04-26,0.43,0.43,0.43,0.43,19000,0.42
2013-04-25,0.42,0.42,0.42,0.42,000,0.41
2013-04-24,0.42,0.42,0.42,0.42,000,0.41
2013-04-23,0.42,0.42,0.42,0.42,000,0.41
2013-04-22,0.42,0.42,0.42,0.42,000,0.41
2013-04-19,0.42,0.42,0.42,0.42,31000,0.41
2013-04-18,0.42,0.42,0.42,0.42,000,0.41
2013-04-17,0.42,0.42,0.42,0.42,21000,0.41
2013-04-16,0.42,0.42,0.42,0.42,000,0.41
2013-04-15,0.42,0.42,0.42,0.42,000,0.41
2013-04-12,0.42,0.42,0.42,0.42,20000,0.41
2013-04-11,0.43,0.43,0.41,0.41,132000,0.41
2013-04-10,0.42,0.42,0.42,0.42,5000,0.41
2013-04-09,0.44,0.44,0.44,0.44,000,0.43
2013-04-08,0.42,0.44,0.41,0.44,95000,0.43
2013-04-05,0.44,0.44,0.44,0.44,10000,0.42
2013-04-04,0.43,0.43,0.43,0.43,15000,0.42
2013-04-03,0.44,0.44,0.44,0.44,257000,0.43
