Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.36,0.36,0.36,0.36,000,0.36
2013-06-03,0.36,0.36,0.36,0.36,56000,0.36
2013-05-31,0.36,0.37,0.36,0.36,44000,0.36
2013-05-30,0.37,0.37,0.36,0.36,326000,0.36
2013-05-29,0.37,0.37,0.37,0.37,250000,0.37
2013-05-28,0.37,0.37,0.37,0.37,313000,0.37
2013-05-27,0.36,0.36,0.36,0.36,000,0.36
2013-05-24,0.36,0.36,0.36,0.36,000,0.36
2013-05-23,0.36,0.36,0.36,0.36,45000,0.36
2013-05-22,0.38,0.38,0.37,0.37,73000,0.37
2013-05-21,0.37,0.38,0.37,0.37,713000,0.37
2013-05-20,0.35,0.35,0.35,0.35,2000,0.35
2013-05-17,0.36,0.36,0.36,0.36,20000,0.36
2013-05-16,0.36,0.36,0.35,0.36,514000,0.36
2013-05-15,0.36,0.36,0.36,0.36,19000,0.36
2013-05-14,0.37,0.37,0.37,0.37,24000,0.37
2013-05-13,0.35,0.36,0.35,0.36,26000,0.36
2013-05-10,0.37,0.37,0.35,0.35,16000,0.35
2013-05-09,0.36,0.36,0.36,0.36,000,0.36
2013-05-08,0.35,0.36,0.35,0.36,212000,0.36
2013-05-07,0.35,0.36,0.35,0.36,32000,0.36
2013-05-06,0.35,0.35,0.35,0.35,19000,0.35
2013-05-03,0.35,0.35,0.35,0.35,31000,0.35
2013-05-02,0.35,0.35,0.35,0.35,207000,0.35
2013-05-01,0.35,0.35,0.35,0.35,000,0.35
2013-04-30,0.35,0.35,0.35,0.35,12000,0.35
2013-04-29,0.36,0.36,0.36,0.36,29000,0.35
2013-04-26,0.37,0.37,0.35,0.35,17000,0.35
2013-04-25,0.35,0.35,0.35,0.35,40000,0.35
2013-04-24,0.35,0.35,0.35,0.35,000,0.35
2013-04-23,0.35,0.35,0.35,0.35,10000,0.35
2013-04-22,0.37,0.37,0.37,0.37,000,0.36
2013-04-19,0.37,0.37,0.37,0.37,23000,0.36
2013-04-18,0.35,0.36,0.35,0.36,11000,0.35
2013-04-17,0.37,0.37,0.37,0.37,000,0.36
2013-04-16,0.37,0.37,0.37,0.37,25000,0.36
2013-04-15,0.37,0.37,0.37,0.37,45000,0.36
2013-04-12,0.37,0.37,0.37,0.37,27000,0.36
2013-04-11,0.37,0.37,0.37,0.37,33000,0.36
2013-04-10,0.37,0.37,0.37,0.37,10000,0.36
2013-04-09,0.37,0.37,0.37,0.37,246000,0.36
2013-04-08,0.37,0.37,0.37,0.37,30000,0.36
2013-04-05,0.37,0.37,0.37,0.37,230000,0.36
2013-04-04,0.38,0.38,0.38,0.38,000,0.37
2013-04-03,0.38,0.38,0.37,0.38,61000,0.37
2013-04-02,0.37,0.37,0.37,0.37,30000,0.36
2013-04-01,0.37,0.38,0.37,0.38,57000,0.37
2013-03-29,0.38,0.38,0.38,0.38,000,0.37
2013-03-28,0.38,0.38,0.38,0.38,000,0.37
2013-03-27,0.38,0.38,0.38,0.38,000,0.37
2013-03-26,0.38,0.38,0.38,0.38,540000,0.37
2013-03-25,0.37,0.38,0.37,0.38,21000,0.37
2013-03-22,0.37,0.37,0.37,0.37,000,0.36
2013-03-21,0.37,0.37,0.37,0.37,000,0.36
2013-03-20,0.37,0.37,0.37,0.37,000,0.36
2013-03-19,0.37,0.37,0.37,0.37,000,0.36
2013-03-18,0.37,0.37,0.37,0.37,61000,0.36
2013-03-15,0.37,0.38,0.37,0.38,264000,0.37
2013-03-14,0.37,0.38,0.37,0.38,82000,0.37
2013-03-13,0.37,0.37,0.37,0.37,6000,0.36
2013-03-12,0.37,0.37,0.37,0.37,22000,0.36
2013-03-11,0.37,0.37,0.36,0.36,59000,0.35
2013-03-08,0.38,0.38,0.37,0.37,10000,0.36
2013-03-07,0.37,0.37,0.37,0.37,62000,0.36
2013-03-06,0.38,0.38,0.38,0.38,265000,0.37
2013-03-05,0.38,0.38,0.38,0.38,305000,0.37
2013-03-04,0.37,0.37,0.37,0.37,120000,0.36
2013-03-01,0.38,0.38,0.37,0.37,261000,0.36
2013-02-28,0.38,0.39,0.38,0.38,732000,0.37
2013-02-27,0.37,0.37,0.37,0.37,142000,0.36
2013-02-26,0.37,0.37,0.37,0.37,44000,0.36
2013-02-25,0.38,0.38,0.37,0.38,81000,0.37
2013-02-22,0.37,0.38,0.37,0.38,335000,0.37
2013-02-21,0.38,0.38,0.37,0.37,187000,0.36
2013-02-20,0.38,0.38,0.38,0.38,61000,0.37
2013-02-19,0.37,0.38,0.37,0.38,282000,0.37
2013-02-18,0.38,0.38,0.37,0.38,559000,0.37
2013-02-15,0.36,0.38,0.36,0.37,748000,0.36
2013-02-14,0.37,0.37,0.37,0.37,469000,0.36
2013-02-13,0.36,0.37,0.36,0.37,31000,0.36
2013-02-12,0.37,0.37,0.37,0.37,000,0.36
2013-02-11,0.37,0.37,0.37,0.37,000,0.36
2013-02-08,0.37,0.37,0.37,0.37,111000,0.36
2013-02-07,0.36,0.36,0.36,0.36,97000,0.35
2013-02-06,0.36,0.36,0.36,0.36,40000,0.35
2013-02-05,0.36,0.36,0.36,0.36,56000,0.35
2013-02-04,0.36,0.36,0.35,0.36,224000,0.35
2013-02-01,0.36,0.37,0.36,0.36,94000,0.35
2013-01-31,0.37,0.37,0.37,0.37,267000,0.36
2013-01-30,0.37,0.37,0.37,0.37,26000,0.36
2013-01-29,0.37,0.37,0.37,0.37,199000,0.36
2013-01-28,0.37,0.37,0.37,0.37,85000,0.36
2013-01-25,0.37,0.37,0.37,0.37,000,0.36
2013-01-24,0.37,0.37,0.37,0.37,000,0.36
2013-01-23,0.37,0.37,0.37,0.37,000,0.36
2013-01-22,0.37,0.37,0.37,0.37,15000,0.36
2013-01-21,0.37,0.37,0.36,0.36,39000,0.35
2013-01-18,0.37,0.37,0.37,0.37,3000,0.36
2013-01-17,0.35,0.36,0.35,0.36,22000,0.35
2013-01-16,0.35,0.35,0.35,0.35,000,0.35
2013-01-15,0.37,0.37,0.35,0.35,89000,0.35
2013-01-14,0.36,0.36,0.36,0.36,82000,0.35
2013-01-11,0.37,0.37,0.37,0.37,253000,0.36
2013-01-10,0.37,0.38,0.37,0.38,119000,0.37
2013-01-09,0.36,0.36,0.36,0.36,40000,0.35
2013-01-08,0.36,0.36,0.36,0.36,38000,0.35
2013-01-07,0.36,0.37,0.36,0.37,92000,0.36
2013-01-04,0.36,0.36,0.36,0.36,15000,0.35
2013-01-03,0.36,0.36,0.36,0.36,55000,0.35
2013-01-02,0.36,0.36,0.36,0.36,35000,0.35
2013-01-01,0.36,0.36,0.36,0.36,000,0.35
2012-12-31,0.36,0.36,0.36,0.36,30000,0.35
2012-12-28,0.36,0.37,0.36,0.37,282000,0.36
2012-12-27,0.35,0.36,0.35,0.36,420000,0.35
2012-12-26,0.35,0.35,0.35,0.35,220000,0.35
2012-12-25,0.35,0.35,0.35,0.35,000,0.35
2012-12-24,0.35,0.35,0.35,0.35,83000,0.35
2012-12-21,0.35,0.35,0.35,0.35,210000,0.35
2012-12-20,0.35,0.35,0.34,0.35,162000,0.35
2012-12-19,0.35,0.35,0.34,0.35,452000,0.35
2012-12-18,0.35,0.35,0.35,0.35,392000,0.35
2012-12-17,0.35,0.35,0.35,0.35,133000,0.35
2012-12-14,0.35,0.35,0.35,0.35,183000,0.35
2012-12-13,0.34,0.34,0.34,0.34,5000,0.34
2012-12-12,0.35,0.35,0.35,0.35,386000,0.35
2012-12-11,0.34,0.34,0.34,0.34,9000,0.34
2012-12-10,0.34,0.35,0.34,0.34,453000,0.34
2012-12-07,0.34,0.34,0.34,0.34,290000,0.34
2012-12-06,0.34,0.34,0.34,0.34,113000,0.34
2012-12-05,0.34,0.34,0.34,0.34,176000,0.34
