Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.28,0.29,0.28,0.29,234000,0.29
2013-06-03,0.29,0.29,0.28,0.28,56000,0.28
2013-05-31,0.28,0.29,0.28,0.29,73000,0.29
2013-05-30,0.29,0.29,0.28,0.28,211000,0.28
2013-05-29,0.29,0.31,0.29,0.29,248000,0.29
2013-05-28,0.29,0.29,0.29,0.29,299000,0.29
2013-05-27,0.29,0.29,0.29,0.29,150000,0.29
2013-05-24,0.29,0.29,0.29,0.29,000,0.29
2013-05-23,0.30,0.31,0.29,0.29,582000,0.29
2013-05-22,0.31,0.32,0.31,0.31,1738000,0.31
2013-05-21,0.29,0.31,0.29,0.31,1432000,0.31
2013-05-20,0.28,0.29,0.28,0.29,503000,0.29
2013-05-17,0.28,0.28,0.28,0.28,354000,0.28
2013-05-16,0.28,0.28,0.28,0.28,320000,0.28
2013-05-15,0.27,0.28,0.27,0.27,786000,0.27
2013-05-14,0.27,0.28,0.26,0.27,272000,0.27
2013-05-13,0.28,0.28,0.27,0.27,135000,0.27
2013-05-10,0.27,0.28,0.27,0.28,216000,0.28
2013-05-09,0.27,0.28,0.27,0.27,323000,0.27
2013-05-08,0.26,0.27,0.26,0.26,290000,0.26
2013-05-07,0.26,0.27,0.26,0.26,195000,0.26
2013-05-06,0.26,0.26,0.26,0.26,130000,0.26
2013-05-03,0.27,0.27,0.26,0.26,215000,0.26
2013-05-02,0.28,0.28,0.28,0.28,204000,0.27
2013-05-01,0.28,0.28,0.28,0.28,000,0.27
2013-04-30,0.28,0.28,0.28,0.28,95000,0.27
2013-04-29,0.28,0.28,0.28,0.28,232000,0.27
2013-04-26,0.28,0.28,0.28,0.28,135000,0.28
2013-04-25,0.28,0.28,0.28,0.28,266000,0.28
2013-04-24,0.28,0.28,0.28,0.28,7000,0.27
2013-04-23,0.28,0.28,0.28,0.28,57000,0.27
2013-04-22,0.28,0.28,0.28,0.28,230000,0.27
2013-04-19,0.28,0.28,0.27,0.28,360000,0.27
